TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country,SalesTotal,SatuanRp,is_outlier,Day,Month,DayOfMonth
581483,2019-12-09,23843,Paper Craft Little Birdie,12.38,80995,16446.0,United Kingdom,1002718.1000000001,"Rp 22,309,876,094",1,Monday,12,9
C581484,2019-12-09,23843,Paper Craft Little Birdie,6.19,-80995,16446.0,United Kingdom,-501359.05000000005,"Rp -11,154,938,047",1,Monday,12,9
581375,2019-12-08,21137,Black Record Cover Frame,6.19,960,16210.0,United Kingdom,5942.400000000001,"Rp 132,214,835",1,Sunday,12,8
581457,2019-12-08,23543,Wall Art Keep Calm,7.24,698,18102.0,United Kingdom,5053.52,"Rp 112,437,788",1,Sunday,12,8
581458,2019-12-08,22197,Popcorn Holder,6.04,1500,17949.0,United Kingdom,9060.0,"Rp 201,579,564",1,Sunday,12,8
581459,2019-12-08,22197,Popcorn Holder,6.04,1200,17949.0,United Kingdom,7248.0,"Rp 161,263,651",1,Sunday,12,8
581020,2019-12-07,20668,Disco Ball Christmas Decoration,6.19,576,17511.0,United Kingdom,3565.44,"Rp 79,328,901",1,Saturday,12,7
581097,2019-12-07,22476,Empire Union Jack Tv Dinner Tray,6.19,600,13685.0,United Kingdom,3714.0000000000005,"Rp 82,634,272",1,Saturday,12,7
581105,2019-12-07,85152,Hand Over The Chocolate Sign,6.19,620,16000.0,United Kingdom,3837.8,"Rp 85,388,747",1,Saturday,12,7
581105,2019-12-07,22457,Natural Slate Heart Chalkboard,6.19,620,16000.0,United Kingdom,3837.8,"Rp 85,388,747",1,Saturday,12,7
581105,2019-12-07,22727,Alarm Clock Bakelike Red,6.19,620,16000.0,United Kingdom,3837.8,"Rp 85,388,747",1,Saturday,12,7
581105,2019-12-07,23497,Classic Chrome Bicycle Bell,6.19,620,16000.0,United Kingdom,3837.8,"Rp 85,388,747",1,Saturday,12,7
581105,2019-12-07,23498,Classic Bicycle Clips,6.19,620,16000.0,United Kingdom,3837.8,"Rp 85,388,747",1,Saturday,12,7
581105,2019-12-07,22961,Jam Making Set Printed,6.19,620,16000.0,United Kingdom,3837.8,"Rp 85,388,747",1,Saturday,12,7
581105,2019-12-07,23552,Bicycle Puncture Repair Kit,6.19,620,16000.0,United Kingdom,3837.8,"Rp 85,388,747",1,Saturday,12,7
581107,2019-12-07,23461,Sweetheart Bird House,6.19,620,16000.0,United Kingdom,3837.8,"Rp 85,388,747",1,Saturday,12,7
581115,2019-12-07,22413,Metal Sign Take It Or Leave It,6.19,1404,15195.0,United Kingdom,8690.76,"Rp 193,364,196",1,Saturday,12,7
581175,2019-12-07,23084,Rabbit Night Light,6.19,1440,14646.0,Netherlands,8913.6,"Rp 198,322,252",1,Saturday,12,7
580645,2019-12-05,23177,Treasure Island Book Box,6.19,490,17857.0,United Kingdom,3033.1000000000004,"Rp 67,484,655",1,Thursday,12,5
580646,2019-12-05,22560,Traditional Modelling Clay,6.19,800,17857.0,United Kingdom,4952.0,"Rp 110,179,029",1,Thursday,12,5
580665,2019-12-05,23309,Set Of 60 I Love London Cake Cases,7.24,480,16684.0,United Kingdom,3475.2000000000003,"Rp 77,321,115",1,Thursday,12,5
